brand,band_min,band_max,cupNum_min,cupNum_max,keywords,styles
George At Asda,32,42,1,7,keywords,styles
Gilda & Pearl,28,36,1,6,keywords,styles
Gilligan & O'malley,32,42,1,6,keywords,styles
Gilly Hicks,32,36,1,5,keywords,styles
Gillyhick's,32,36,0,5,keywords,styles
Glamorise,32,58,1,11,keywords,styles
Goddess,32,56,2,15,keywords,styles
Gok Wan,32,46,1,7,keywords,styles
Gorgeous,28,42,4,10,keywords,styles
Gorsenia,30,50,1,13,keywords,styles
Gorteks,30,52,1,10,keywords,styles
Gossard,28,44,1,7,keywords,styles
Gratlin,32,44,2,6,keywords,styles
Grenier,32,44,1,6,keywords,styles
Gujin,34,36,3,3,keywords,styles
H&m,30,38,1,6,keywords,styles
Hamana,30,42,2,7,keywords,styles
Hanes,34,42,1,5,keywords,styles
Heidi Klum Intimates,30,38,1,7,keywords,styles
Henderson Ladies,30,34,1,6,keywords,styles
Hestia,32,46,1,6,keywords,styles
Honey Birdette,32,36,1,6,keywords,styles
Honeydew,30,36,1,5,keywords,styles
Hoola,28,38,4,8,keywords,styles
Hotmilk,30,42,1,8,keywords,styles
Huber,34,40,5,5,keywords,styles
Huit,30,38,1,6,keywords,styles
Hunkemöller,30,44,1,8,keywords,styles
Id Sarrieri,32,36,2,5,keywords,styles
Ilusión,28,44,1,4,keywords,styles
Imi's,32,38,1,4,keywords,styles
Impimi,26,50,1,21,keywords,styles
Impish Lee,28,40,1,10,keywords,styles
Implicite,32,38,1,6,keywords,styles
Incanto,30,38,1,4,keywords,styles
Incarico,28,46,1,12,keywords,styles
Infinity Lingerie,30,42,1,7,keywords,styles
Intimately Free People,30,36,1,5,keywords,styles
Intimint,32,40,1,6,keywords,styles
Intimissimi,30,38,1,3,keywords,styles
Intimo,30,46,1,7,keywords,styles
Iris & Edie,30,36,1,5,keywords,styles
Iris & Lilly,32,42,1,8,keywords,styles
Isaac Mizrahi,34,38,3,5,keywords,styles
Izod,36,38,3,4,keywords,styles
Jacinta Fernandez,32,42,2,4,keywords,styles
Janet Reger,32,38,1,5,keywords,styles
Janice,34,42,1,5,keywords,styles
Jasmine & Ginger,30,38,1,7,keywords,styles
Jennifer Intimates,40,42,2,2,keywords,styles
